x,y,layer
-121.49166666666666,35.016666666666666,695
-121.475,35.016666666666666,572
-121.45833333333333,35.016666666666666,485
-121.44166666666666,35.016666666666666,451
-121.425,35.016666666666666,453
-121.40833333333333,35.016666666666666,429
-121.39166666666667,35.016666666666666,435
-121.375,35.016666666666666,448
-121.35833333333333,35.016666666666666,466
-121.34166666666667,35.016666666666666,490
-121.325,35.016666666666666,521
-121.30833333333334,35.016666666666666,590
-121.29166666666667,35.016666666666666,601
-121.275,35.016666666666666,609
-121.25833333333334,35.016666666666666,609
-121.24166666666666,35.016666666666666,604
-121.225,35.016666666666666,596
-121.20833333333333,35.016666666666666,587
-121.19166666666666,35.016666666666666,581
-121.175,35.016666666666666,576
-121.15833333333333,35.016666666666666,570
-121.14166666666667,35.016666666666666,566
-121.125,35.016666666666666,558
-121.10833333333333,35.016666666666666,541
-121.09166666666667,35.016666666666666,530
-121.075,35.016666666666666,518
-121.05833333333334,35.016666666666666,504
-121.04166666666667,35.016666666666666,484
-121.025,35.016666666666666,462
-121.00833333333334,35.016666666666666,435
-120.99166666666666,35.016666666666666,414
-120.975,35.016666666666666,385
-120.95833333333333,35.016666666666666,354
-120.94166666666666,35.016666666666666,319
-120.925,35.016666666666666,279
-120.90833333333333,35.016666666666666,241
-120.89166666666667,35.016666666666666,210
-120.875,35.016666666666666,186
-120.85833333333333,35.016666666666666,163
-120.84166666666667,35.016666666666666,140
-120.825,35.016666666666666,120
-120.80833333333334,35.016666666666666,108
-120.79166666666667,35.016666666666666,96
-120.775,35.016666666666666,85
-120.75833333333334,35.016666666666666,76
-120.74166666666666,35.016666666666666,65
-120.725,35.016666666666666,56
-120.70833333333333,35.016666666666666,45
-120.69166666666666,35.016666666666666,38
-120.675,35.016666666666666,32
-120.65833333333333,35.016666666666666,24
-120.64166666666667,35.016666666666666,17
-120.625,35.016666666666666,-0
-121.49166666666666,35,743
-121.475,35,566
-121.45833333333333,35,519
-121.44166666666666,35,491
-121.425,35,463
-121.40833333333333,35,422
-121.39166666666667,35,439
-121.375,35,426
-121.35833333333333,35,443
-121.34166666666667,35,466
-121.325,35,491
-121.30833333333334,35,530
-121.29166666666667,35,590
-121.275,35,600
-121.25833333333334,35,605
-121.24166666666666,35,601
-121.225,35,593
-121.20833333333333,35,586
-121.19166666666666,35,581
-121.175,35,575
-121.15833333333333,35,570
-121.14166666666667,35,563
-121.125,35,557
-121.10833333333333,35,546
-121.09166666666667,35,534
-121.075,35,519
-121.05833333333334,35,506
-121.04166666666667,35,487
-121.025,35,465
-121.00833333333334,35,439
-120.99166666666666,35,417
-120.975,35,394
-120.95833333333333,35,364
-120.94166666666666,35,328
-120.925,35,287
-120.90833333333333,35,251
-120.89166666666667,35,218
-120.875,35,194
-120.85833333333333,35,169
-120.84166666666667,35,148
-120.825,35,124
-120.80833333333334,35,113
-120.79166666666667,35,99
-120.775,35,88
-120.75833333333334,35,77
-120.74166666666666,35,65
-120.725,35,56
-120.70833333333333,35,45
-120.69166666666666,35,38
-120.675,35,32
-120.65833333333333,35,23
-120.64166666666667,35,12
-121.49166666666666,34.983333333333334,626
-121.475,34.983333333333334,559
-121.45833333333333,34.983333333333334,518
-121.44166666666666,34.983333333333334,494
-121.425,34.983333333333334,489
-121.40833333333333,34.983333333333334,470
-121.39166666666667,34.983333333333334,436
-121.375,34.983333333333334,457
-121.35833333333333,34.983333333333334,435
-121.34166666666667,34.983333333333334,432
-121.325,34.983333333333334,466
-121.30833333333334,34.983333333333334,493
-121.29166666666667,34.983333333333334,538
-121.275,34.983333333333334,584
-121.25833333333334,34.983333333333334,595
-121.24166666666666,34.983333333333334,597
-121.225,34.983333333333334,592
-121.20833333333333,34.983333333333334,585
-121.19166666666666,34.983333333333334,579
-121.175,34.983333333333334,575
-121.15833333333333,34.983333333333334,571
-121.14166666666667,34.983333333333334,565
-121.125,34.983333333333334,557
-121.10833333333333,34.983333333333334,549
-121.09166666666667,34.983333333333334,535
-121.075,34.983333333333334,522
-121.05833333333334,34.983333333333334,508
-121.04166666666667,34.983333333333334,489
-121.025,34.983333333333334,465
-121.00833333333334,34.983333333333334,441
-120.99166666666666,34.983333333333334,419
-120.975,34.983333333333334,398
-120.95833333333333,34.983333333333334,368
-120.94166666666666,34.983333333333334,333
-120.925,34.983333333333334,291
-120.90833333333333,34.983333333333334,259
-120.89166666666667,34.983333333333334,222
-120.875,34.983333333333334,200
-120.85833333333333,34.983333333333334,176
-120.84166666666667,34.983333333333334,153
-120.825,34.983333333333334,129
-120.80833333333334,34.983333333333334,115
-120.79166666666667,34.983333333333334,101
-120.775,34.983333333333334,91
-120.75833333333334,34.983333333333334,78
-120.74166666666666,34.983333333333334,64
-120.725,34.983333333333334,55
-120.70833333333333,34.983333333333334,43
-120.69166666666666,34.983333333333334,38
-120.675,34.983333333333334,29
-120.65833333333333,34.983333333333334,21
-120.64166666666667,34.983333333333334,5
-121.49166666666666,34.96666666666667,739
-121.475,34.96666666666667,647
-121.45833333333333,34.96666666666667,532
-121.44166666666666,34.96666666666667,495
-121.425,34.96666666666667,485
-121.40833333333333,34.96666666666667,481
-121.39166666666667,34.96666666666667,440
-121.375,34.96666666666667,448
-121.35833333333333,34.96666666666667,473
-121.34166666666667,34.96666666666667,467
-121.325,34.96666666666667,450
-121.30833333333334,34.96666666666667,479
-121.29166666666667,34.96666666666667,501
-121.275,34.96666666666667,565
-121.25833333333334,34.96666666666667,587
-121.24166666666666,34.96666666666667,590
-121.225,34.96666666666667,589
-121.20833333333333,34.96666666666667,584
-121.19166666666666,34.96666666666667,579
-121.175,34.96666666666667,576
-121.15833333333333,34.96666666666667,573
-121.14166666666667,34.96666666666667,568
-121.125,34.96666666666667,562
-121.10833333333333,34.96666666666667,554
-121.09166666666667,34.96666666666667,529
-121.075,34.96666666666667,525
-121.05833333333334,34.96666666666667,511
-121.04166666666667,34.96666666666667,489
-121.025,34.96666666666667,467
-121.00833333333334,34.96666666666667,440
-120.99166666666666,34.96666666666667,421
-120.975,34.96666666666667,398
-120.95833333333333,34.96666666666667,369
-120.94166666666666,34.96666666666667,334
-120.925,34.96666666666667,294
-120.90833333333333,34.96666666666667,262
-120.89166666666667,34.96666666666667,227
-120.875,34.96666666666667,206
-120.85833333333333,34.96666666666667,182
-120.84166666666667,34.96666666666667,157
-120.825,34.96666666666667,137
-120.80833333333334,34.96666666666667,122
-120.79166666666667,34.96666666666667,104
-120.775,34.96666666666667,92
-120.75833333333334,34.96666666666667,81
-120.74166666666666,34.96666666666667,62
-120.725,34.96666666666667,54
-120.70833333333333,34.96666666666667,42
-120.69166666666666,34.96666666666667,37
-120.675,34.96666666666667,26
-120.65833333333333,34.96666666666667,17
-120.64166666666667,34.96666666666667,1
-121.49166666666666,34.949999999999996,662
-121.475,34.949999999999996,537
-121.45833333333333,34.949999999999996,503
-121.44166666666666,34.949999999999996,486
-121.425,34.949999999999996,475
-121.40833333333333,34.949999999999996,469
-121.39166666666667,34.949999999999996,470
-121.375,34.949999999999996,450
-121.35833333333333,34.949999999999996,458
-121.34166666666667,34.949999999999996,484
-121.325,34.949999999999996,476
-121.30833333333334,34.949999999999996,470
-121.29166666666667,34.949999999999996,490
-121.275,34.949999999999996,534
-121.25833333333334,34.949999999999996,575
-121.24166666666666,34.949999999999996,580
-121.225,34.949999999999996,580
-121.20833333333333,34.949999999999996,580
-121.19166666666666,34.949999999999996,578
-121.175,34.949999999999996,575
-121.15833333333333,34.949999999999996,574
-121.14166666666667,34.949999999999996,571
-121.125,34.949999999999996,566
-121.10833333333333,34.949999999999996,560
-121.09166666666667,34.949999999999996,532
-121.075,34.949999999999996,502
-121.05833333333334,34.949999999999996,510
-121.04166666666667,34.949999999999996,490
-121.025,34.949999999999996,469
-121.00833333333334,34.949999999999996,441
-120.99166666666666,34.949999999999996,422
-120.975,34.949999999999996,400
-120.95833333333333,34.949999999999996,369
-120.94166666666666,34.949999999999996,334
-120.925,34.949999999999996,294
-120.90833333333333,34.949999999999996,264
-120.89166666666667,34.949999999999996,231
-120.875,34.949999999999996,210
-120.85833333333333,34.949999999999996,185
-120.84166666666667,34.949999999999996,161
-120.825,34.949999999999996,144
-120.80833333333334,34.949999999999996,124
-120.79166666666667,34.949999999999996,111
-120.775,34.949999999999996,97
-120.75833333333334,34.949999999999996,83
-120.74166666666666,34.949999999999996,65
-120.725,34.949999999999996,55
-120.70833333333333,34.949999999999996,42
-120.69166666666666,34.949999999999996,35
-120.675,34.949999999999996,26
-120.65833333333333,34.949999999999996,13
-121.49166666666666,34.93333333333333,756
-121.475,34.93333333333333,688
-121.45833333333333,34.93333333333333,554
-121.44166666666666,34.93333333333333,491
-121.425,34.93333333333333,472
-121.40833333333333,34.93333333333333,461
-121.39166666666667,34.93333333333333,461
-121.375,34.93333333333333,450
-121.35833333333333,34.93333333333333,450
-121.34166666666667,34.93333333333333,471
-121.325,34.93333333333333,486
-121.30833333333334,34.93333333333333,484
-121.29166666666667,34.93333333333333,489
-121.275,34.93333333333333,508
-121.25833333333334,34.93333333333333,566
-121.24166666666666,34.93333333333333,575
-121.225,34.93333333333333,575
-121.20833333333333,34.93333333333333,576
-121.19166666666666,34.93333333333333,575
-121.175,34.93333333333333,575
-121.15833333333333,34.93333333333333,574
-121.14166666666667,34.93333333333333,572
-121.125,34.93333333333333,569
-121.10833333333333,34.93333333333333,562
-121.09166666666667,34.93333333333333,553
-121.075,34.93333333333333,455
-121.05833333333334,34.93333333333333,484
-121.04166666666667,34.93333333333333,495
-121.025,34.93333333333333,472
-121.00833333333334,34.93333333333333,443
