time,altitude,latitude,longitude,chlorophyll
UTC,m,degrees_north,degrees_east,mg m-3
2021-01-10T12:00:00Z,0.0,33.1,-119.73750000000001,1.1204041
2021-01-10T12:00:00Z,0.0,33.1,-119.725,1.1794331
2021-01-10T12:00:00Z,0.0,33.1,-119.7125,1.1943449
2021-01-10T12:00:00Z,0.0,33.1,-119.69999999999999,1.5408247
2021-01-10T12:00:00Z,0.0,33.1,-119.6875,1.7518017
2021-01-10T12:00:00Z,0.0,33.1,-119.67500000000001,2.3853521
2021-01-10T12:00:00Z,0.0,33.1,-119.6625,2.703172
2021-01-10T12:00:00Z,0.0,33.1,-119.65,2.8238246
2021-01-10T12:00:00Z,0.0,33.1,-119.63749999999999,2.3379853
2021-01-10T12:00:00Z,0.0,33.1,-119.625,3.1869888
2021-01-10T12:00:00Z,0.0,33.1,-119.61250000000001,2.9023461
2021-01-10T12:00:00Z,0.0,33.1,-119.6,3.5261455
2021-01-10T12:00:00Z,0.0,33.1,-119.5875,3.3764863
2021-01-10T12:00:00Z,0.0,33.1,-119.57499999999999,3.052711
2021-01-10T12:00:00Z,0.0,33.1,-119.5625,3.096914
2021-01-10T12:00:00Z,0.0,33.1,-119.55000000000001,3.0726848
2021-01-10T12:00:00Z,0.0,33.1,-119.5375,3.2949436
2021-01-10T12:00:00Z,0.0,33.1,-119.525,3.6677663
2021-01-10T12:00:00Z,0.0,33.1,-119.51249999999999,3.1919646
2021-01-10T12:00:00Z,0.0,33.1,-119.5,2.8844156
2021-01-10T12:00:00Z,0.0,33.1,-119.48750000000001,2.49372
2021-01-10T12:00:00Z,0.0,33.1,-119.475,2.3239093
2021-01-10T12:00:00Z,0.0,33.1,-119.4625,3.0267835
2021-01-10T12:00:00Z,0.0,33.1,-119.44999999999999,5.3884606
2021-01-10T12:00:00Z,0.0,33.1,-119.4375,8.16034
2021-01-10T12:00:00Z,0.0,33.1,-119.42500000000001,8.146585
2021-01-10T12:00:00Z,0.0,33.1,-119.4125,2.6148264
2021-01-10T12:00:00Z,0.0,33.1,-119.4,3.7750032
2021-01-10T12:00:00Z,0.0,33.1,-119.38749999999999,4.0158195
2021-01-10T12:00:00Z,0.0,33.1,-119.375,4.772897
2021-01-10T12:00:00Z,0.0,33.1,-119.36250000000001,8.512632
2021-01-10T12:00:00Z,0.0,33.1,-119.35,5.348622
2021-01-10T12:00:00Z,0.0,33.1,-119.3375,5.205109
2021-01-10T12:00:00Z,0.0,33.1,-119.32499999999999,4.7063136
2021-01-10T12:00:00Z,0.0,33.1,-119.3125,3.6154673
2021-01-10T12:00:00Z,0.0,33.1,-119.30000000000001,3.0366151
2021-01-10T12:00:00Z,0.0,33.1,-119.2875,3.152993
2021-01-10T12:00:00Z,0.0,33.1,-119.275,3.719198
2021-01-10T12:00:00Z,0.0,33.1,-119.26249999999999,3.864249
2021-01-10T12:00:00Z,0.0,33.1,-119.25,3.2686138
2021-01-10T12:00:00Z,0.0,33.1,-119.23750000000001,3.2000563
2021-01-10T12:00:00Z,0.0,33.1,-119.225,3.26761
2021-01-10T12:00:00Z,0.0,33.1,-119.2125,2.8410509
2021-01-10T12:00:00Z,0.0,33.1,-119.19999999999999,3.212415
2021-01-10T12:00:00Z,0.0,33.1,-119.1875,3.725072
2021-01-10T12:00:00Z,0.0,33.1,-119.17500000000001,4.600727
2021-01-10T12:00:00Z,0.0,33.1,-119.1625,4.500567
2021-01-10T12:00:00Z,0.0,33.1,-119.15,5.2014894
2021-01-10T12:00:00Z,0.0,33.1,-119.13749999999999,4.8735547
2021-01-10T12:00:00Z,0.0,33.1,-119.125,4.7939534
2021-01-10T12:00:00Z,0.0,33.1,-119.11250000000001,4.091202
2021-01-10T12:00:00Z,0.0,33.1,-119.1,2.8106894
2021-01-10T12:00:00Z,0.0,33.1,-119.0875,3.3024454
2021-01-10T12:00:00Z,0.0,33.1,-119.07499999999999,2.456443
2021-01-10T12:00:00Z,0.0,33.1,-119.0625,2.5511286
2021-01-10T12:00:00Z,0.0,33.1,-119.05000000000001,2.3593655
2021-01-10T12:00:00Z,0.0,33.1,-119.0375,2.4426637
2021-01-10T12:00:00Z,0.0,33.1,-119.025,2.0440214
